time,open,high,low,close,tick_volume,spread,real_volume
2024-10-01 16:35:00,184.47,184.47,184.22,184.37,58,20,0
2024-10-01 16:36:00,184.4,184.66,184.31,184.56,56,20,0
2024-10-01 16:37:00,184.57,184.57,184.18,184.24,68,20,0
2024-10-01 16:38:00,184.21,184.28,183.83,183.87,74,20,0
2024-10-01 16:39:00,183.9,183.94,183.63,183.87,58,20,0
2024-10-01 16:40:00,183.93,184.05,183.77,184.03,65,20,0
2024-10-01 16:41:00,183.97,183.98,183.66,183.77,59,20,0
2024-10-01 16:42:00,183.76,183.79,183.49,183.73,64,20,0
2024-10-01 16:43:00,183.74,184.07,183.71,184.07,50,30,0
2024-10-01 16:44:00,184.07,184.45,184.07,184.44,53,20,0
2024-10-01 16:45:00,184.47,184.59,184.23,184.54,65,40,0
2024-10-01 16:46:00,184.45,184.45,184.09,184.11,59,20,0
2024-10-01 16:47:00,184.08,184.32,183.98,184.01,48,30,0
2024-10-01 16:48:00,184.0,184.14,183.91,184.09,55,20,0
2024-10-01 16:49:00,184.13,184.4,184.1,184.12,55,30,0
2024-10-01 16:50:00,184.1,184.11,183.79,183.88,53,30,0
2024-10-01 16:51:00,183.9,183.9,183.51,183.52,63,30,0
2024-10-01 16:52:00,183.51,183.62,183.43,183.47,58,20,0
2024-10-01 16:53:00,183.47,183.73,183.47,183.68,63,30,0
2024-10-01 16:54:00,183.67,183.68,183.52,183.63,53,20,0
2024-10-01 16:55:00,183.58,183.8,183.46,183.8,58,30,0
2024-10-01 16:56:00,183.79,184.09,183.74,184.09,59,20,0
2024-10-01 16:57:00,184.08,184.38,184.06,184.29,61,30,0
2024-10-01 16:58:00,184.29,184.39,184.21,184.21,47,30,0
2024-10-01 16:59:00,184.22,184.28,184.15,184.25,43,30,0
2024-10-01 17:00:00,184.24,184.67,183.99,184.38,74,40,0
2024-10-01 17:01:00,184.35,184.39,184.22,184.39,57,40,0
2024-10-01 17:02:00,184.35,184.36,184.16,184.36,63,30,0
2024-10-01 17:03:00,184.36,184.36,184.18,184.24,51,30,0
2024-10-01 17:04:00,184.24,184.47,184.15,184.35,62,30,0
2024-10-01 17:05:00,184.35,184.35,184.15,184.23,63,20,0
2024-10-01 17:06:00,184.24,184.24,184.0,184.05,70,20,0
2024-10-01 17:07:00,184.05,184.09,183.83,183.83,66,30,0
2024-10-01 17:08:00,183.79,184.09,183.79,184.02,58,20,0
2024-10-01 17:09:00,184.0,184.08,183.77,183.83,62,20,0
2024-10-01 17:10:00,183.86,184.0,183.5,183.61,69,20,0
2024-10-01 17:11:00,183.61,183.84,183.61,183.82,65,30,0
2024-10-01 17:12:00,183.77,184.01,183.72,183.92,59,20,0
2024-10-01 17:13:00,183.94,184.15,183.93,183.98,64,30,0
2024-10-01 17:14:00,183.97,184.1,183.91,183.97,49,30,0
2024-10-01 17:15:00,183.97,184.01,183.75,183.84,59,20,0
2024-10-01 17:16:00,183.82,183.9,183.61,183.64,66,20,0
2024-10-01 17:17:00,183.68,183.74,183.6,183.64,60,20,0
2024-10-01 17:18:00,183.63,183.8,183.61,183.8,63,20,0
