time,open,high,low,close,tick_volume,spread,real_volume
2024-10-01 16:35:00,227.54,227.54,227.18,227.31,79,50,0
2024-10-01 16:36:00,227.34,227.34,226.99,226.99,74,40,0
2024-10-01 16:37:00,226.91,227.09,226.61,226.64,81,40,0
2024-10-01 16:38:00,226.65,226.74,226.24,226.27,79,30,0
2024-10-01 16:39:00,226.28,226.78,226.2,226.69,88,40,0
2024-10-01 16:40:00,226.7,226.73,226.36,226.61,72,40,0
2024-10-01 16:41:00,226.64,226.88,226.53,226.68,76,40,0
2024-10-01 16:42:00,226.65,226.73,226.38,226.54,60,40,0
2024-10-01 16:43:00,226.6,226.79,226.56,226.61,70,40,0
2024-10-01 16:44:00,226.59,226.7,226.48,226.58,70,40,0
2024-10-01 16:45:00,226.57,227.0,226.36,226.79,75,40,0
2024-10-01 16:46:00,226.77,226.91,226.61,226.76,74,40,0
2024-10-01 16:47:00,226.71,226.85,226.45,226.45,78,40,0
2024-10-01 16:48:00,226.43,226.58,226.21,226.29,81,40,0
2024-10-01 16:49:00,226.27,226.38,226.08,226.1,75,40,0
2024-10-01 16:50:00,226.08,226.17,225.94,226.14,75,40,0
2024-10-01 16:51:00,226.15,226.22,225.95,226.1,68,40,0
2024-10-01 16:52:00,226.11,226.19,225.7,225.78,64,40,0
2024-10-01 16:53:00,225.77,226.0,225.77,225.88,64,40,0
2024-10-01 16:54:00,225.86,225.95,225.67,225.95,65,40,0
2024-10-01 16:55:00,225.95,226.11,225.59,225.7,73,30,0
2024-10-01 16:56:00,225.7,225.92,225.64,225.78,79,40,0
2024-10-01 16:57:00,225.79,225.9,225.65,225.78,58,40,0
2024-10-01 16:58:00,225.79,225.94,225.78,225.81,54,30,0
2024-10-01 16:59:00,225.84,226.08,225.84,226.08,53,30,0
2024-10-01 17:00:00,226.07,226.22,225.8,225.89,82,40,0
2024-10-01 17:01:00,225.88,225.91,225.47,225.57,74,40,0
2024-10-01 17:02:00,225.55,225.75,225.5,225.75,64,40,0
2024-10-01 17:03:00,225.71,225.72,225.49,225.54,58,30,0
2024-10-01 17:04:00,225.56,225.98,225.56,225.97,65,40,0
2024-10-01 17:05:00,225.98,226.03,225.84,226.03,65,40,0
2024-10-01 17:06:00,226.03,226.2,225.85,225.96,73,40,0
2024-10-01 17:07:00,225.93,225.97,225.79,225.86,69,30,0
2024-10-01 17:08:00,225.86,225.88,225.61,225.61,55,40,0
2024-10-01 17:09:00,225.61,225.67,225.38,225.42,52,40,0
2024-10-01 17:10:00,225.43,225.52,225.16,225.2,62,40,0
2024-10-01 17:11:00,225.19,225.34,225.17,225.22,60,40,0
2024-10-01 17:12:00,225.22,225.3,225.04,225.27,59,40,0
2024-10-01 17:13:00,225.25,225.52,225.25,225.44,80,40,0
2024-10-01 17:14:00,225.44,225.6,225.3,225.33,62,40,0
2024-10-01 17:15:00,225.32,225.32,225.06,225.07,70,40,0
2024-10-01 17:16:00,225.06,225.06,224.72,224.73,60,40,0
2024-10-01 17:17:00,224.72,224.88,224.72,224.75,60,40,0
2024-10-01 17:18:00,224.75,225.06,224.71,225.03,61,30,0
2024-10-01 17:19:00,225.03,225.07,224.92,225.04,56,40,0
2024-10-01 17:20:00,225.02,225.15,224.96,225.09,62,40,0
2024-10-01 17:21:00,225.08,225.38,225.05,225.25,65,40,0
2024-10-01 17:22:00,225.22,225.26,225.09,225.22,69,40,0
2024-10-01 17:23:00,225.21,225.29,225.11,225.16,61,40,0
2024-10-01 17:24:00,225.15,225.2,224.99,225.09,51,40,0
2024-10-01 17:25:00,225.06,225.27,225.06,225.23,74,30,0
2024-10-01 17:26:00,225.21,225.23,224.98,224.98,52,30,0
2024-10-01 17:27:00,224.98,224.98,224.8,224.82,61,30,0
2024-10-01 17:28:00,224.81,224.86,224.63,224.75,58,20,0
2024-10-01 17:29:00,224.75,224.98,224.69,224.94,68,40,0
2024-10-01 17:30:00,224.94,224.96,224.63,224.65,74,40,0
2024-10-01 17:31:00,224.66,224.72,224.54,224.58,55,30,0
2024-10-01 17:32:00,224.57,224.75,224.52,224.75,66,30,0
2024-10-01 17:33:00,224.76,224.98,224.67,224.85,69,40,0
2024-10-01 17:34:00,224.84,224.97,224.71,224.73,62,30,0
2024-10-01 17:35:00,224.71,224.77,224.66,224.68,72,30,0
2024-10-01 17:36:00,224.7,224.93,224.66,224.9,61,40,0
2024-10-01 17:37:00,224.89,225.02,224.83,224.96,71,40,0
2024-10-01 17:38:00,224.96,224.99,224.81,224.92,71,40,0
2024-10-01 17:39:00,224.92,225.05,224.8,224.89,56,30,0
2024-10-01 17:40:00,224.88,225.06,224.86,225.04,48,30,0
2024-10-01 17:41:00,225.04,225.24,224.95,225.24,67,30,0
2024-10-01 17:42:00,225.23,225.43,225.19,225.41,69,40,0
2024-10-01 17:43:00,225.41,225.43,225.22,225.28,57,40,0
2024-10-01 17:44:00,225.29,225.31,225.11,225.17,59,40,0
2024-10-01 17:45:00,225.17,225.29,225.09,225.21,74,40,0
2024-10-01 17:46:00,225.19,225.28,225.15,225.15,52,40,0
2024-10-01 17:47:00,225.14,225.15,224.97,225.15,55,30,0
2024-10-01 17:48:00,225.14,225.23,225.04,225.12,59,40,0
2024-10-01 17:49:00,225.12,225.18,224.94,224.98,54,40,0
2024-10-01 17:50:00,224.98,225.08,224.89,224.92,61,40,0
2024-10-01 17:51:00,224.91,224.98,224.83,224.85,54,40,0
2024-10-01 17:52:00,224.86,225.02,224.81,224.92,55,40,0
2024-10-01 17:53:00,224.92,225.02,224.91,224.98,50,30,0
2024-10-01 17:54:00,224.98,225.07,224.94,225.01,48,40,0
2024-10-01 17:55:00,225.02,225.29,224.99,225.21,52,40,0
2024-10-01 17:56:00,225.2,225.25,225.11,225.15,56,30,0
2024-10-01 17:57:00,225.16,225.22,225.05,225.07,51,40,0
2024-10-01 17:58:00,225.05,225.27,225.04,225.25,49,40,0
2024-10-01 17:59:00,225.27,225.33,225.23,225.25,48,40,0
2024-10-01 18:00:00,225.26,225.28,225.1,225.13,52,30,0
2024-10-01 18:01:00,225.11,225.2,224.99,224.99,55,40,0
2024-10-01 18:02:00,225.0,225.03,224.84,224.97,58,30,0
2024-10-01 18:03:00,225.0,225.01,224.9,224.96,52,30,0
2024-10-01 18:04:00,224.93,225.0,224.86,224.86,61,40,0
2024-10-01 18:05:00,224.86,224.86,224.72,224.78,61,40,0
2024-10-01 18:06:00,224.78,224.89,224.7,224.71,64,40,0
2024-10-01 18:07:00,224.7,224.75,224.61,224.7,42,30,0
2024-10-01 18:08:00,224.7,224.72,224.51,224.65,64,40,0
2024-10-01 18:09:00,224.65,224.69,224.56,224.6,51,40,0
2024-10-01 18:10:00,224.6,224.61,224.52,224.53,52,40,0
2024-10-01 18:11:00,224.52,224.61,224.52,224.58,50,40,0
2024-10-01 18:12:00,224.59,224.63,224.51,224.62,36,30,0
2024-10-01 18:13:00,224.62,224.78,224.61,224.7,51,30,0
2024-10-01 18:14:00,224.68,224.85,224.66,224.75,39,30,0
2024-10-01 18:15:00,224.75,224.86,224.75,224.86,47,30,0
2024-10-01 18:16:00,224.83,224.93,224.75,224.75,37,30,0
2024-10-01 18:17:00,224.75,224.8,224.69,224.78,50,40,0
2024-10-01 18:18:00,224.78,224.92,224.76,224.84,48,30,0
2024-10-01 18:19:00,224.82,224.84,224.66,224.69,50,30,0
2024-10-01 18:20:00,224.69,224.8,224.67,224.78,60,40,0
2024-10-01 18:21:00,224.77,224.79,224.66,224.79,42,40,0
2024-10-01 18:22:00,224.76,224.91,224.76,224.89,44,40,0
2024-10-01 18:23:00,224.88,224.95,224.81,224.83,39,30,0
2024-10-01 18:24:00,224.84,224.93,224.83,224.91,39,40,0
2024-10-01 18:25:00,224.91,224.94,224.84,224.94,38,40,0
2024-10-01 18:26:00,224.94,225.21,224.94,225.2,43,30,0
2024-10-01 18:27:00,225.2,225.4,225.2,225.4,41,30,0
2024-10-01 18:28:00,225.39,225.45,225.34,225.41,48,40,0
2024-10-01 18:29:00,225.42,225.46,225.39,225.44,40,30,0
2024-10-01 18:30:00,225.44,225.44,225.23,225.3,51,40,0
2024-10-01 18:31:00,225.27,225.3,225.16,225.27,41,40,0
2024-10-01 18:32:00,225.27,225.3,225.04,225.14,60,40,0
2024-10-01 18:33:00,225.15,225.4,225.15,225.33,44,40,0
2024-10-01 18:34:00,225.33,225.47,225.33,225.44,41,30,0
2024-10-01 18:35:00,225.44,225.53,225.38,225.44,47,40,0
2024-10-01 18:36:00,225.44,225.54,225.42,225.47,49,40,0
2024-10-01 18:37:00,225.46,225.59,225.3,225.3,62,40,0
2024-10-01 18:38:00,225.3,225.44,225.2,225.41,43,40,0
2024-10-01 18:39:00,225.43,225.56,225.38,225.56,47,40,0
2024-10-01 18:40:00,225.56,225.63,225.5,225.51,57,40,0
2024-10-01 18:41:00,225.53,225.73,225.48,225.69,43,30,0
2024-10-01 18:42:00,225.69,225.9,225.69,225.86,63,30,0
