time,open,high,low,close,tick_volume,spread,real_volume
2024-06-03 16:35:00,469.69,469.78,468.08,468.88,50,13,0
2024-06-03 16:36:00,468.89,471.08,468.89,470.99,48,19,0
2024-06-03 16:37:00,470.64,471.0,470.2,470.85,52,9,0
2024-06-03 16:38:00,470.91,471.71,470.81,471.43,53,10,0
2024-06-03 16:39:00,471.49,472.26,471.4,472.15,42,10,0
2024-06-03 16:40:00,472.15,473.76,472.04,473.15,51,10,0
2024-06-03 16:41:00,473.14,474.39,472.99,473.54,48,7,0
2024-06-03 16:42:00,473.54,474.36,472.99,474.08,45,11,0
2024-06-03 16:43:00,474.22,474.41,473.32,473.67,43,9,0
2024-06-03 16:44:00,473.44,474.22,473.44,474.09,40,6,0
2024-06-03 16:45:00,473.99,475.25,473.99,475.06,59,9,0
2024-06-03 16:46:00,475.1,475.81,474.97,475.35,58,11,0
2024-06-03 16:47:00,475.53,475.73,474.85,475.64,40,10,0
2024-06-03 16:48:00,475.64,475.78,475.11,475.3,39,8,0
2024-06-03 16:49:00,475.6,475.6,474.34,475.4,50,9,0
2024-06-03 16:50:00,475.4,475.86,474.86,475.24,47,11,0
2024-06-03 16:51:00,475.25,475.31,473.79,474.84,44,15,0
2024-06-03 16:52:00,474.84,475.72,474.06,475.25,37,15,0
2024-06-03 16:53:00,475.26,475.9,475.26,475.41,43,12,0
2024-06-03 16:54:00,475.4,475.44,474.23,474.4,47,4,0
2024-06-03 16:55:00,474.4,474.67,473.77,474.05,40,8,0
2024-06-03 16:56:00,473.86,474.51,473.33,474.2,47,11,0
2024-06-03 16:57:00,474.48,474.83,474.15,474.83,42,10,0
2024-06-03 16:58:00,474.83,475.14,474.71,475.14,36,7,0
2024-06-03 16:59:00,474.95,475.54,474.79,474.8,37,9,0
2024-06-03 17:00:00,475.04,476.57,475.04,475.65,58,12,0
2024-06-03 17:01:00,475.47,475.84,474.76,474.77,47,7,0
2024-06-03 17:02:00,474.49,475.1,473.92,474.89,39,13,0
2024-06-03 17:03:00,475.19,475.19,474.61,474.69,42,14,0
2024-06-03 17:04:00,474.69,474.78,474.22,474.29,39,9,0
2024-06-03 17:05:00,474.29,474.46,473.99,474.17,46,11,0
2024-06-03 17:06:00,474.17,474.52,474.04,474.31,42,7,0
2024-06-03 17:07:00,473.85,474.54,473.85,474.54,40,12,0
2024-06-03 17:08:00,474.54,474.99,474.37,474.92,48,8,0
2024-06-03 17:09:00,474.92,474.92,473.53,473.53,44,10,0
2024-06-03 17:10:00,473.57,474.17,473.53,474.03,38,6,0
2024-06-03 17:11:00,473.96,474.39,473.85,474.34,30,13,0
2024-06-03 17:12:00,474.41,474.69,474.17,474.17,42,11,0
2024-06-03 17:13:00,474.32,475.05,473.88,474.77,40,7,0
2024-06-03 17:14:00,474.88,475.39,474.88,474.91,36,7,0
2024-06-03 17:15:00,474.79,475.16,474.59,474.9,35,6,0
2024-06-03 17:16:00,474.9,474.9,474.43,474.7,36,10,0
2024-06-03 17:17:00,474.59,474.65,474.43,474.43,29,9,0
