time,open,high,low,close,tick_volume,spread,real_volume
2024-09-03 16:35:00,521.25,521.25,519.05,519.81,39,13,0
2024-09-03 16:36:00,519.81,519.82,518.96,519.19,39,19,0
2024-09-03 16:37:00,519.26,520.32,519.0,520.19,40,18,0
2024-09-03 16:38:00,520.28,520.81,519.79,519.97,36,17,0
2024-09-03 16:39:00,520.54,522.12,520.08,521.48,45,9,0
2024-09-03 16:40:00,521.38,522.89,521.38,522.68,43,12,0
2024-09-03 16:41:00,522.45,523.14,520.96,521.76,40,17,0
2024-09-03 16:42:00,521.5,521.5,519.71,520.48,44,14,0
2024-09-03 16:43:00,520.49,521.77,520.21,521.26,45,15,0
2024-09-03 16:44:00,521.48,521.75,520.39,521.44,37,17,0
2024-09-03 16:45:00,521.37,524.02,520.99,524.02,45,8,0
2024-09-03 16:46:00,524.02,524.53,523.42,524.07,64,12,0
2024-09-03 16:47:00,524.08,524.67,523.52,524.41,48,10,0
2024-09-03 16:48:00,524.52,525.02,524.08,524.79,39,7,0
2024-09-03 16:49:00,524.8,525.2,523.98,523.98,47,13,0
2024-09-03 16:50:00,523.98,525.23,523.98,524.25,47,12,0
2024-09-03 16:51:00,524.25,524.52,522.91,522.97,39,11,0
2024-09-03 16:52:00,523.07,523.07,522.51,522.67,26,19,0
2024-09-03 16:53:00,522.67,523.02,521.52,521.71,33,19,0
2024-09-03 16:54:00,521.73,521.73,520.27,520.65,51,9,0
2024-09-03 16:55:00,520.62,521.43,520.54,521.23,35,20,0
2024-09-03 16:56:00,521.21,521.23,520.46,520.5,35,12,0
2024-09-03 16:57:00,520.5,520.7,519.98,520.67,32,11,0
2024-09-03 16:58:00,520.68,521.48,520.48,521.07,26,26,0
2024-09-03 16:59:00,521.08,521.09,520.42,520.74,36,30,0
2024-09-03 17:00:00,520.86,520.86,518.49,518.9,54,13,0
2024-09-03 17:01:00,518.47,520.14,518.47,520.14,39,19,0
2024-09-03 17:02:00,520.13,520.13,519.58,519.78,22,24,0
2024-09-03 17:03:00,519.95,519.99,518.46,518.71,28,11,0
2024-09-03 17:04:00,518.48,518.48,517.45,518.01,28,12,0
2024-09-03 17:05:00,518.22,518.69,517.82,517.85,36,9,0
2024-09-03 17:06:00,517.98,517.99,516.54,516.69,34,18,0
2024-09-03 17:07:00,516.42,517.29,516.27,516.97,33,12,0
2024-09-03 17:08:00,516.98,517.04,515.97,517.03,28,6,0
2024-09-03 17:09:00,517.04,517.83,517.0,517.66,25,26,0
2024-09-03 17:10:00,517.66,517.67,517.01,517.03,18,23,0
2024-09-03 17:11:00,517.01,517.02,516.34,516.36,21,8,0
2024-09-03 17:12:00,516.63,516.63,514.98,515.12,37,18,0
2024-09-03 17:13:00,515.13,515.47,514.74,514.98,34,10,0
2024-09-03 17:14:00,515.04,515.14,514.64,514.97,38,7,0
2024-09-03 17:15:00,515.12,515.28,514.93,515.04,37,12,0
2024-09-03 17:16:00,515.02,515.63,514.95,515.39,42,14,0
2024-09-03 17:17:00,515.39,515.61,514.08,514.72,40,5,0
2024-09-03 17:18:00,514.85,515.15,514.72,515.02,34,3,0
2024-09-03 17:19:00,515.08,515.54,515.02,515.37,24,13,0
2024-09-03 17:20:00,515.19,515.48,514.95,515.48,31,14,0
2024-09-03 17:21:00,515.5,515.68,514.94,514.99,29,5,0
2024-09-03 17:22:00,515.0,515.0,514.51,514.79,31,12,0
2024-09-03 17:23:00,514.79,514.98,514.58,514.63,24,6,0
2024-09-03 17:24:00,514.88,515.32,514.88,515.29,19,15,0
2024-09-03 17:25:00,515.23,515.27,514.77,515.21,32,10,0
2024-09-03 17:26:00,515.27,515.28,514.77,515.11,21,15,0
2024-09-03 17:27:00,515.13,515.32,514.29,514.36,31,5,0
2024-09-03 17:28:00,514.36,514.37,513.45,514.21,41,14,0
2024-09-03 17:29:00,514.33,514.65,514.21,514.65,23,9,0
2024-09-03 17:30:00,514.64,514.65,514.0,514.3,40,8,0
2024-09-03 17:31:00,514.35,514.73,511.97,512.22,46,3,0
2024-09-03 17:32:00,512.28,513.26,512.03,512.97,51,6,0
2024-09-03 17:33:00,512.96,513.44,512.8,513.06,33,2,0
2024-09-03 17:34:00,513.2,513.5,512.6,513.38,37,6,0
2024-09-03 17:35:00,513.37,514.06,513.37,513.39,32,11,0
2024-09-03 17:36:00,513.2,513.75,512.92,513.38,39,10,0
2024-09-03 17:37:00,513.38,514.04,513.36,513.86,42,9,0
2024-09-03 17:38:00,513.86,513.86,512.84,512.84,47,2,0
2024-09-03 17:39:00,512.96,513.09,512.31,512.58,37,8,0
2024-09-03 17:40:00,512.58,512.75,511.99,512.55,35,8,0
2024-09-03 17:41:00,512.56,512.62,512.03,512.61,32,10,0
2024-09-03 17:42:00,512.5,512.67,511.51,511.73,40,7,0
2024-09-03 17:43:00,511.73,512.84,511.73,512.57,31,9,0
2024-09-03 17:44:00,512.57,512.83,511.98,512.56,49,13,0
2024-09-03 17:45:00,512.48,512.49,511.47,511.68,32,15,0
2024-09-03 17:46:00,511.68,512.58,511.59,512.22,40,4,0
2024-09-03 17:47:00,512.23,512.23,511.08,511.45,43,15,0
2024-09-03 17:48:00,511.48,511.52,510.57,511.49,40,3,0
2024-09-03 17:49:00,511.49,511.49,511.05,511.13,29,11,0
2024-09-03 17:50:00,511.07,511.63,510.96,510.97,38,10,0
2024-09-03 17:51:00,510.96,511.13,510.45,510.64,31,7,0
2024-09-03 17:52:00,510.48,510.49,509.99,510.13,45,6,0
2024-09-03 17:53:00,510.1,510.73,510.1,510.62,38,10,0
2024-09-03 17:54:00,510.25,510.25,509.08,509.9,44,13,0
2024-09-03 17:55:00,509.88,510.68,509.88,510.47,45,12,0
2024-09-03 17:56:00,510.47,511.81,509.96,511.45,36,15,0
2024-09-03 17:57:00,511.54,511.91,511.14,511.61,27,7,0
2024-09-03 17:58:00,511.65,511.99,511.07,511.23,26,12,0
2024-09-03 17:59:00,511.42,511.73,510.63,510.63,29,10,0
2024-09-03 18:00:00,510.76,511.1,510.58,511.02,35,8,0
2024-09-03 18:01:00,511.1,512.19,511.06,511.95,31,11,0
2024-09-03 18:02:00,511.94,511.94,511.21,511.68,33,9,0
2024-09-03 18:03:00,511.68,511.98,511.47,511.8,33,14,0
2024-09-03 18:04:00,511.8,512.2,511.63,511.74,25,12,0
2024-09-03 18:05:00,511.75,511.83,511.2,511.41,24,18,0
2024-09-03 18:06:00,511.41,512.06,511.19,511.8,29,11,0
2024-09-03 18:07:00,511.97,512.28,511.76,512.07,27,7,0
2024-09-03 18:08:00,512.07,512.76,512.04,512.25,40,9,0
2024-09-03 18:09:00,512.07,512.18,511.56,511.65,29,12,0
2024-09-03 18:10:00,511.65,512.12,511.59,511.86,35,7,0
2024-09-03 18:11:00,511.9,512.39,511.9,512.39,20,5,0
2024-09-03 18:12:00,512.4,513.24,512.4,512.95,27,7,0
2024-09-03 18:13:00,512.69,513.17,512.43,512.72,34,9,0
2024-09-03 18:14:00,512.72,513.07,512.68,512.98,24,6,0
2024-09-03 18:15:00,512.97,513.34,512.64,513.12,27,17,0
2024-09-03 18:16:00,513.07,513.46,512.94,513.41,31,12,0
2024-09-03 18:17:00,513.45,513.46,512.7,512.98,24,7,0
2024-09-03 18:18:00,512.98,513.08,512.43,512.51,30,9,0
2024-09-03 18:19:00,512.66,513.44,512.54,513.17,36,10,0
2024-09-03 18:20:00,513.12,513.67,513.12,513.62,18,13,0
2024-09-03 18:21:00,513.62,513.82,513.38,513.49,30,6,0
2024-09-03 18:22:00,513.52,513.82,513.17,513.8,31,11,0
2024-09-03 18:23:00,513.63,513.99,513.62,513.88,37,5,0
2024-09-03 18:24:00,513.89,513.89,513.28,513.28,17,2,0
2024-09-03 18:25:00,513.28,513.5,513.15,513.32,25,14,0
2024-09-03 18:26:00,513.32,514.19,513.31,513.79,32,8,0
2024-09-03 18:27:00,513.79,514.08,513.42,513.6,28,10,0
2024-09-03 18:28:00,513.59,514.2,513.59,514.2,21,6,0
2024-09-03 18:29:00,514.2,514.27,513.66,513.71,28,12,0
2024-09-03 18:30:00,513.85,514.1,513.59,513.85,24,13,0
2024-09-03 18:31:00,513.88,513.92,512.96,513.13,26,15,0
2024-09-03 18:32:00,513.13,513.32,513.05,513.18,14,15,0
2024-09-03 18:33:00,513.13,513.94,513.13,513.94,27,8,0
2024-09-03 18:34:00,513.93,514.06,513.53,514.05,29,9,0
2024-09-03 18:35:00,514.06,514.47,514.04,514.25,30,21,0
2024-09-03 18:36:00,514.66,514.66,514.21,514.33,29,6,0
2024-09-03 18:37:00,514.52,514.54,514.05,514.06,27,11,0
2024-09-03 18:38:00,514.06,514.26,513.86,514.19,28,15,0
2024-09-03 18:39:00,514.19,514.31,513.94,513.97,18,10,0
2024-09-03 18:40:00,513.93,514.02,513.47,513.47,24,16,0
2024-09-03 18:41:00,513.48,513.61,513.13,513.13,20,8,0
2024-09-03 18:42:00,513.22,513.39,512.99,513.01,37,9,0
2024-09-03 18:43:00,512.97,513.23,512.68,513.07,27,2,0
2024-09-03 18:44:00,513.08,513.1,512.64,512.74,33,7,0
2024-09-03 18:45:00,512.74,513.36,512.74,513.33,31,5,0
2024-09-03 18:46:00,513.33,513.44,513.07,513.26,20,2,0
2024-09-03 18:47:00,513.31,513.31,512.88,513.02,24,8,0
2024-09-03 18:48:00,512.98,513.48,512.92,513.33,27,3,0
2024-09-03 18:49:00,513.33,513.69,513.33,513.47,26,6,0
