Date,Open,High,Low,Close,Volume,news_count,news_indices
2024-02-01 16:00:00,,,,,0,4,"1131,1132,1133,1134"
2024-02-01 16:30:00,185.014,185.614,184.574,185.414,0,3,"1128,1129,1130"
2024-02-01 17:00:00,185.177,186.144,184.912,186.085,0,1,1127
2024-02-01 17:30:00,186.085,186.294,185.342,185.342,0,1,1126
2024-02-01 18:00:00,185.364,186.055,185.278,185.384,0,1,1125
2024-02-01 18:30:00,185.384,185.874,185.345,185.665,0,1,1124
2024-02-01 19:00:00,185.675,186.285,185.638,185.894,0,0,
2024-02-01 19:30:00,185.884,186.415,185.618,186.105,0,1,1123
2024-02-01 20:00:00,186.114,186.165,185.558,185.714,0,0,
2024-02-01 20:30:00,185.718,185.944,185.254,185.778,0,0,
2024-02-01 21:00:00,185.782,186.135,185.538,185.964,0,1,1122
2024-02-01 21:30:00,185.958,186.605,185.868,186.462,0,8,"1114,1115,1116,1117,1118,1119,1120,1121"
2024-02-01 22:00:00,186.452,186.785,186.272,186.642,0,4,"1110,1111,1112,1113"
2024-02-01 22:30:00,186.642,186.885,186.415,186.574,0,5,"1105,1106,1107,1108,1109"
2024-02-01 23:00:00,,,,,0,8,"1097,1098,1099,1100,1101,1102,1103,1104"
2024-02-01 23:30:00,,,,,0,0,
2024-02-02 00:00:00,,,,,0,1,1096
2024-02-02 00:30:00,,,,,0,0,
2024-02-02 01:00:00,,,,,0,0,
2024-02-02 01:30:00,,,,,0,2,"1094,1095"
2024-02-02 02:00:00,,,,,0,0,
2024-02-02 02:30:00,,,,,0,3,"1091,1092,1093"
2024-02-02 03:00:00,,,,,0,0,
2024-02-02 03:30:00,,,,,0,1,1090
2024-02-02 04:00:00,,,,,0,1,1089
2024-02-02 04:30:00,,,,,0,0,
2024-02-02 05:00:00,,,,,0,2,"1087,1088"
2024-02-02 05:30:00,,,,,0,0,
2024-02-02 06:00:00,,,,,0,1,1086
2024-02-02 06:30:00,,,,,0,0,
2024-02-02 07:00:00,,,,,0,1,1085
2024-02-02 07:30:00,,,,,0,2,"1083,1084"
2024-02-02 08:00:00,,,,,0,0,
2024-02-02 08:30:00,,,,,0,0,
2024-02-02 09:00:00,,,,,0,1,1082
2024-02-02 09:30:00,,,,,0,1,1081
2024-02-02 10:00:00,,,,,0,0,
